,user_id,loneliness_binary,satisfaction_with_life,foodbank,neighbours,close_family_or_friends,community_or_faith_group,worry_about_rent_payment,working_full_time,working_part_time,unemployed,retired,not_working_house_or_child,not_working_sick_or_disabled,student,added_food_listings,imd_decile,added_non_food_listings,msoa_usage,listing_rank,added_comments,added_stories,received_likes_comments,received_likes_stories,received_comments,given_ratings,received_ratings,donated_food_listings,donated_non_food_listings,number_of_conversations,messages_count,max_requests_month,monthly_burstiness,max_requests_month_food,max_requests_month_non_food,imd_score,income_score,employment_score,education_score,health_score,crime_score,barriers_score,living_environment_score,income_deprivation_affecting_children_score,income_deprivation_affecting_older_score,children_young_people_score,adult_skills_score,geographical_barriers_score,wider_barriers_score,indoors_score,outdoors_score,income_decile,employment_decile,education_decile,health_decile,crime_decile,barriers_decile,living_environment_decile,uc_claimants_22_pop,pc_of_pupils_taking_fsm,pct_16to24,pct_25to49,pct_50to64,pct_over65,pop_density,pct_other_lone_parent_children,pct_non_white,closeness_centrality,betweenness_centrality,degree_centrality,clustering,pagerank,dst_bus_coach_ts,dst_bus_coach_stop_street,dst_tram_metro_underground_access,dst_tram_metro_underground_platform,dst_railway_access,Population ,Average population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,embeddedness_score,gender_Female,gender_Male,gender_Non binary/ other,gender_Prefer not to say,illness_No,illness_Prefer not to say,illness_Yes,household_composition_Living on my own (NO children or children have left home),household_composition_Living on my own WITH children under 18,"household_composition_Living with other adult family members (i.e. aged 18 or older, such as adult children, parents and/ or elderly relatives)","household_composition_Living with other adults that are non-family members, such as friends/ flatmates",household_composition_Living with partner/ spouse (NO children or children have left home),household_composition_Living with partner/ spouse/ older relative WITH children under 18,neighbourhood_comparison_Better,neighbourhood_comparison_Much better,neighbourhood_comparison_Much worse,neighbourhood_comparison_The same,neighbourhood_comparison_Worse,turn_to_friends_and_family_Not at all,turn_to_friends_and_family_To a large extent,turn_to_friends_and_family_To some extent,pre_payment_Don't know,pre_payment_No,pre_payment_Yes,fuel_security_label_High fuel-security,fuel_security_label_Low fuel-security,fuel_security_label_Marginal fuel-security,fuel_security_label_Very low fuel-security,household_food_security_label_High food-security,household_food_security_label_Low food-security,household_food_security_label_Marginal food-security,household_food_security_label_Very low food-security,house_desc_Buying the house on a mortgage,house_desc_Living in a night shelter/ hostel,house_desc_Living in rented accommodation arranged by the Local Authority,house_desc_Living in rented accommodation from Housing Association,house_desc_Living in student accommodation/ student halls,house_desc_Owning the house outright,house_desc_Renting from private landlord,house_desc_Temporarily living with friends and/ or family while attempting to find permanent accommodation,epc_rating_A,epc_rating_B,epc_rating_C,epc_rating_D,epc_rating_Don't know,epc_rating_E,epc_rating_F,epc_rating_G,worry_about_energy_payment_1 or 2 months,worry_about_energy_payment_Almost every month,worry_about_energy_payment_Never,worry_about_energy_payment_Some months but not every month,"income_range_Less than Â£14,900 p.a.","income_range_More than Â£58,900 p.a.",income_range_Prefer not to say,"income_range_Â£14,901- Â£24,300 p.a.","income_range_Â£24,301- Â£37,900 p.a.","income_range_Â£37,901- Â£58,900 p.a.",isolation_Hardly ever or never,isolation_Often,isolation_Some of the time,lack_companionship_Hardly ever or never,lack_companionship_Often,lack_companionship_Some of the time
0,85575,0,7,0,0,1,0,3,1,0,0,0,0,0,0,0,6,0,3,2,0,0,0,0,0,1,0,0,0,2,6,1,0,1,0,15.61,0.099,0.065,15.636,-0.32,-0.143,29.334,23.049,0.111,0.157,-0.662,0.355,0.149,2.344,0.325,0.189,6,7,6,7,6,3,4,0.069549218,0.202238806,9.080036799,34.21343146,20.58877645,15.04139834,2182.914256,14.2,23.5,0,0,4.59E-05,0,8.72E-06,5511.453316,12856.97956,1659.212731,1660.867071,1837.176938,10903,9870.5,653,451,263.32,3481,3456,183.26,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
1,12054,1,3,0,0,0,1,2,0,0,1,0,0,1,0,10,6,32,4,4,0,0,0,0,0,4,3,9,5,54,154,1,0,0,1,16.47,0.099,0.066,0.991,-0.237,0.264,24.914,41.933,0.097,0.247,-1.307,0.121,-0.557,2.915,0.451,1.691,6,7,10,6,4,4,2,0.099873043,0.271405493,9.056284384,47.90520525,15.90139653,9.140922556,8875.601328,15.9,37.3,0.149892239,6.49E-05,0.000894126,0.037889039,7.31E-05,8118.847395,16888.34609,1095.559336,1031.279907,696.6824241,9431,12334.21,2590,2289,109.39,1370,1348,152.33,3.39E-05,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2,1108729,0,8,0,0,0,1,4,0,0,0,0,0,1,0,1561,2,1,4,4,2,0,2,0,0,51,42,604,1,753,1965,14,3.576470588,3,11,34.37,0.158,0.137,12.966,0.699,1.7,27.059,42.259,0.191,0.336,0.316,0.155,-0.449,3.17,0.155,2.094,3,3,6,3,1,3,2,0.078705882,0,16.02352941,46.22352941,14.52941176,10.14117647,8472.709381,11.1,30.6,0.169982069,0.003615049,0.004447705,0.028149059,0.000297834,1548.696476,19086.5748,39.59034803,24.75134405,433.5081517,8180,20839.95,3754,2018.92,93.53,414,388,108.9,0.000125199,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3,1261411,0,7,0,0,0,0,1,0,0,0,1,0,0,0,5,6,211,4,4,0,0,0,0,0,43,34,4,167,286,777,37,6.733333333,37,6,16.762,0.101,0.065,5.168,-0.337,0.331,27.21,37.917,0.13,0.207,-0.312,0.094,-1.225,3.788,0.184,1.741,5,7,9,7,4,3,2,0.126082921,0,8.864480198,48.05074257,16.07363861,10.58168317,21955.47306,10.6,30.6,0.168782102,0.000567053,0.002453116,0.05913504,8.47E-05,7017.407934,14455.77957,476.609228,434.9117975,437.641373,6531,28208.12,3576,3028,79.53,229,226,73.33,0.000145065,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
4,1633334,0,7,0,0,0,0,4,1,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,3,0,0,19,40,4,0.4,3,4,25.93,0.131,0.101,3.85,0.071,0.893,31.413,49.58,0.332,0.194,-0.567,0.143,-0.155,3.497,0.41,2.361,4,4,9,5,2,2,1,0.098536036,0.34984639,13.67438867,53.37033462,13.78700129,7.657657658,17056.56889,12.6,37.3,0,0,0.000183411,0.089285714,8.72E-06,4984.187484,17339.88615,221.1688272,245.6739845,132.1511833,11724,22183.99,6673,2303,71.5,652,631,63.73,1.64E-05,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
5,179304,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,9,22,3,4,0,0,0,0,0,8,8,0,9,20,54,5,0,5,0,8.6,0.055,0.034,0.406,-0.909,0.134,21.509,30.335,0.039,0.111,-1.568,0.088,-0.863,2.537,0.193,1.144,8,9,10,9,5,5,3,0.045014067,0.082025118,7.908721475,35.88621444,19.13097843,13.42607065,3590.291668,11.1,19.1,0.127370214,6.31E-09,0.000252189,0.036363636,9.01E-05,7806.991898,16683.37563,1164.247989,1132.805065,1209.36261,6496,14171.84,1361,1242,162.94,1255,1244,175.34,9.17E-06,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
6,216016,0,8,1,0,1,0,4,0,1,0,0,0,0,0,0,5,0,3,3,0,0,0,0,0,2,1,0,0,11,29,5,1.625,5,0,19.334,0.096,0.085,7.8,0.519,0.245,25.928,30.185,0.05,0.259,-0.067,0.128,-1.033,3.497,-0.307,1.668,6,5,8,3,4,4,3,0.03676025,0.152013613,7.725711977,49.00020198,15.2696425,10.11916784,7081.50832,7.2,17.6,0,0,0.000114632,0,8.72E-06,10737.51105,11909.9161,192.3262889,222.2401266,969.3093864,10067,41351.37,2587,1793,141.18,1982,1948,140.62,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
7,1983972,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,7,9,2,3,0,0,0,0,0,7,7,0,1,18,62,6,2.266666667,0,6,13.898,0.085,0.051,20.895,-0.583,0.199,28.291,14.579,0.086,0.134,0.296,0.312,0.274,1.737,-0.633,0.568,6,8,5,8,5,3,6,0.083405483,0.095083153,10.60606061,37.22943723,17.61904762,14.20634921,3856.451116,18,34.9,0.128011549,2.85E-05,0.000389747,0.047794118,5.80E-05,17872.26473,1397.582203,693.4710299,699.2734186,3402.49501,13705,19709.4,1580,1136,232.79,3797,3737,172.93,1.86E-05,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8,12899,0,7,0,0,0,0,4,0,0,0,0,1,0,0,1,9,7,4,3,0,0,0,0,0,9,8,1,5,21,51,2,0.2,0,2,5.985,0.047,0.035,0.743,-1.309,-0.842,16.116,31.034,0.05,0.101,-1.329,0.095,-0.796,1.334,0.332,1,9,9,10,10,9,7,3,0.046658539,0.061503417,8.40075363,52.31076139,12.72304112,8.179097861,7791.640058,6.6,22.4,0.148321785,0.00010613,0.000527305,0.041501976,3.37E-05,11736.33855,8885.324824,187.7290859,153.353829,1260.517532,8910,8083.69,2159,1696,139.52,1759,1731,107.48,2.19E-05,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
9,2040847,0,8,0,0,1,0,3,1,0,0,0,0,0,0,2,3,0,4,3,0,0,0,0,0,5,5,2,0,15,80,2,0,1,2,31.45,0.166,0.094,12.855,-0.159,1.38,38.001,51.95,0.245,0.322,0.188,0.209,-1.393,5.159,1.045,1.339,3,5,6,6,1,1,1,0.182571685,0.192371476,8.594683393,51.77718041,11.96983274,8.027180406,8954.127305,15.1,41.8,0.117101386,4.17E-06,0.000389747,0.069852941,1.01E-05,4449.311167,15008.51503,934.1615522,916.1751255,1196.417102,12744,14129.76,7046,2921.13,293.94,786,760,186.11,2.72E-05,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
